                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4838,                   2.24,                0.27183,                 5.6598,                 1.4231,                0.48115,                0.37482,                0.31715,                0.13178,                0.47886,                0.45242,                0.38314,                0.28485,                 2.2293,                 1.8226,                0.04284,                  2.415,                 1.2293,             0.00066513,             0.00066513,             0.00066513
                      2,                 2.2202,                 1.6404,                0.14087,                 1.5735,                 1.2523,                 0.5663,                0.42094,                0.38879,                0.16596,                0.58754,                0.49534,                0.46195,                0.37253,                 2.1338,                 1.6186,                0.02664,                 2.5611,                 1.2013,              0.0012988,              0.0012988,              0.0012988
                      3,                 2.0797,                 1.3802,                0.11169,                 1.4174,                 1.2037,                0.58535,                0.51684,                0.46936,                0.20824,                0.61103,                0.59004,                0.54575,                0.44852,                 1.9768,                  1.298,                0.01386,                 1.4823,                  1.122,              0.0018995,              0.0018995,              0.0018995
                      4,                 2.0038,                 1.2323,                0.10777,                 1.2994,                 1.1598,                0.65559,                0.57321,                0.51378,                0.23666,                0.65759,                0.64249,                0.59809,                0.49775,                 1.9333,                 1.0557,                0.01334,                 1.4731,                 1.1024,              0.0018515,              0.0018515,              0.0018515
                      5,                  1.894,                 1.0527,                 0.1054,                 1.1761,                 1.1317,                0.67615,                0.60249,                0.55932,                0.28382,                0.69887,                0.66032,                0.63481,                0.53579,                 1.7595,                0.94661,                0.01566,                  1.203,                 1.0472,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.7969,                0.93669,                0.09245,                 1.0561,                 1.0963,                0.67299,                0.63177,                0.55925,                0.27359,                 0.7035,                0.67567,                 0.6277,                0.54114,                 1.7809,                0.87745,                 0.0149,                  1.226,                 1.0505,               0.001802,               0.001802,               0.001802
                      7,                 1.7482,                0.88441,                0.08387,                 1.0181,                 1.0793,                0.66683,                0.62518,                0.55988,                0.27377,                0.69658,                0.68814,                0.63636,                0.54335,                 1.7509,                0.84924,                0.01008,                  1.149,                 1.0337,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.6544,                0.78957,                0.07383,                0.93812,                 1.0477,                0.67242,                0.65959,                 0.5935,                0.31688,                0.71787,                0.72401,                0.67642,                0.59173,                 1.6311,                0.75816,                0.00871,                  1.088,                 1.0126,               0.001703,               0.001703,               0.001703
                      9,                 1.6325,                0.70075,                0.07336,                0.92138,                 1.0464,                0.71254,                0.66052,                0.60786,                0.33203,                0.69645,                 0.7511,                0.67001,                0.60139,                 1.5436,                0.67117,                0.01271,                  1.039,                0.98423,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.5829,                0.67635,                 0.0697,                 0.8932,                 1.0374,                0.70517,                0.65813,                0.59663,                0.31413,                0.70787,                0.73133,                0.68347,                0.61416,                 1.6366,                0.67626,                0.00905,                 1.1087,                0.99169,               0.001604,               0.001604,               0.001604
                     11,                 1.5786,                0.71123,                0.06612,                0.86697,                 1.0293,                0.68525,                0.69034,                0.62115,                0.33489,                0.69092,                0.78917,                 0.6951,                0.61572,                 1.5454,                0.68591,                0.00583,                 1.0487,                0.97507,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.5291,                0.61153,                0.06893,                0.82484,                  1.015,                0.71145,                0.68009,                0.62039,                 0.3451,                0.70318,                0.75549,                0.68788,                0.61919,                 1.5294,                0.64149,                0.00854,                0.99225,                0.96638,               0.001505,               0.001505,               0.001505
                     13,                 1.5051,                0.62221,                0.06088,                0.79961,                 1.0064,                0.70459,                0.69619,                0.62227,                0.34348,                 0.7101,                0.75915,                0.70201,                0.62411,                  1.521,                0.59892,                0.00893,                0.97251,                 0.9763,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.4636,                0.56316,                0.06505,                0.77703,                 0.9986,                0.70813,                0.68202,                 0.6207,                0.34167,                0.71019,                0.76421,                0.70367,                0.62903,                 1.4954,                0.57452,                 0.0135,                0.98652,                0.97366,               0.001406,               0.001406,               0.001406
                     15,                 1.4542,                0.51923,                0.06418,                0.76614,                0.99496,                0.71097,                0.70864,                0.61779,                0.33474,                0.73816,                0.75622,                0.70342,                0.62716,                 1.5329,                0.60127,                0.00795,                 1.0088,                0.97586,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.4537,                0.50477,                0.05959,                0.76826,                 0.9873,                 0.7092,                0.73719,                0.64281,                0.36098,                0.72795,                0.77233,                0.70848,                 0.6358,                 1.4603,                0.56038,                0.00702,                0.96625,                0.94858,               0.001307,               0.001307,               0.001307
                     17,                 1.4014,                0.46754,                0.05519,                0.72968,                0.97264,                0.70914,                0.71962,                0.64967,                0.37715,                0.69201,                0.80761,                0.71514,                0.65348,                 1.4183,                0.49532,                0.00796,                0.93546,                0.94786,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.3874,                 0.4567,                0.05343,                0.71517,                 0.9737,                0.71819,                0.72914,                0.65263,                0.37822,                0.71679,                0.80454,                0.71742,                0.65653,                 1.4188,                0.50063,                0.00446,                0.93264,                0.94811,               0.001208,               0.001208,               0.001208
                     19,                 1.3616,                0.44048,                0.04843,                0.69252,                0.96445,                0.72312,                0.73646,                0.65818,                0.37876,                0.74597,                0.77452,                0.72374,                0.66573,                 1.4358,                0.48961,                0.00729,                0.93056,                0.94442,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.3513,                0.44793,                0.05002,                0.69038,                0.95504,                0.72268,                0.74231,                0.65735,                 0.3915,                0.73632,                0.78404,                0.71804,                0.65798,                 1.3821,                0.49486,                0.00752,                0.90074,                0.94327,               0.001109,               0.001109,               0.001109
                     21,                 1.3437,                0.42422,                0.04863,                0.67868,                0.95873,                0.73301,                0.71962,                0.66614,                0.39469,                0.71963,                0.81113,                0.72844,                0.67224,                 1.3924,                0.44355,                0.00562,                0.87826,                0.93384,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.3187,                0.38538,                0.04754,                0.66133,                 0.9486,                0.72231,                0.76208,                0.66468,                0.38718,                0.72567,                  0.806,                0.72131,                0.66797,                 1.3756,                0.43971,                0.00539,                0.89782,                0.93532,                0.00101,                0.00101,                0.00101
                     23,                 1.2938,                0.39003,                0.04616,                0.65266,                 0.9438,                0.71669,                0.76112,                0.65767,                0.39137,                0.74876,                0.80527,                0.73195,                0.67756,                  1.362,                0.40442,                0.00548,                0.88063,                0.93494,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.2819,                0.36815,                0.04254,                0.64427,                0.94238,                0.69926,                0.76768,                0.65552,                0.39429,                0.73286,                0.82284,                0.73244,                0.67602,                 1.3483,                0.39805,                0.00745,                0.89238,                0.92986,               0.000911,               0.000911,               0.000911
                     25,                 1.2751,                0.35673,                0.04499,                0.63353,                0.94877,                0.72736,                0.74378,                0.66512,                0.40239,                0.72556,                0.81481,                0.73065,                0.67904,                 1.3535,                0.39784,                  0.006,                0.86923,                0.93333,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.2503,                0.34527,                 0.0396,                0.62093,                0.93516,                 0.7447,                0.74311,                0.68219,                0.41665,                0.73149,                0.80371,                0.73989,                0.69089,                 1.3275,                0.39944,                0.00569,                0.87353,                0.92547,               0.000812,               0.000812,               0.000812
                     27,                 1.2475,                0.32985,                0.04067,                 0.6131,                 0.9345,                0.72206,                0.76281,                 0.6697,                0.41725,                0.74015,                0.82138,                0.73879,                0.68779,                 1.3113,                0.40095,                0.00372,                0.84818,                0.92764,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.2409,                0.33502,                0.04394,                0.60512,                0.93859,                0.72779,                0.76531,                0.67878,                0.41341,                 0.7465,                0.81259,                0.73535,                0.68737,                 1.3158,                0.39345,                0.00457,                0.84967,                0.92026,               0.000713,               0.000713,               0.000713
                     29,                 1.2107,                0.29579,                 0.0368,                0.59483,                0.92207,                0.73441,                0.75988,                0.67545,                0.41771,                0.75056,                0.80841,                0.74505,                0.69373,                 1.3009,                0.37564,                0.00635,                0.83311,                0.91639,              0.0006635,              0.0006635,              0.0006635
                     30,                 1.1904,                0.28066,                0.04129,                0.58024,                0.92516,                0.74112,                0.75988,                 0.6825,                0.42699,                0.73982,                0.81918,                0.74334,                 0.6961,                 1.2752,                 0.3732,                0.00492,                0.82263,                0.91593,               0.000614,               0.000614,               0.000614
                     31,                 1.1537,                0.25292,                0.00565,                0.55289,                0.91486,                0.72815,                0.75549,                0.67969,                0.42787,                0.74711,                0.83236,                0.75052,                0.70109,                  1.299,                0.36653,                0.00697,                0.82871,                0.91494,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.1385,                0.25489,                0.00494,                0.53578,                0.91607,                0.72448,                0.78258,                0.68277,                 0.4249,                0.74309,                0.82367,                 0.7396,                0.69395,                 1.2797,                0.35994,                0.00377,                0.82958,                0.91245,               0.000515,               0.000515,               0.000515
                     33,                  1.119,                0.23201,                0.00523,                0.51964,                0.90918,                 0.7332,                 0.7672,                 0.6823,                0.43186,                0.73709,                0.83309,                0.74444,                0.70109,                 1.2746,                0.35302,                0.00598,                0.81565,                0.91224,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.0973,                0.22577,                0.00364,                0.51293,                0.90661,                0.73607,                0.77233,                0.68835,                0.43449,                0.74934,                 0.8163,                 0.7419,                0.69879,                  1.262,                 0.3503,                 0.0037,                0.81471,                0.90702,               0.000416,               0.000416,               0.000416
                     35,                 1.0895,                0.21793,                0.00375,                0.50864,                0.90099,                0.73604,                0.77368,                0.69001,                0.43727,                0.75203,                 0.8237,                0.74965,                0.70503,                 1.2733,                 0.3387,                0.00568,                0.81825,                0.90839,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.0692,                0.20801,                0.00299,                0.49866,                0.90068,                0.75517,                0.75769,                0.69321,                0.43969,                0.74209,                0.84256,                0.75264,                0.71015,                 1.2615,                 0.3312,                0.00448,                0.80965,                0.90815,               0.000317,               0.000317,               0.000317
                     37,                 1.0511,                0.21121,                0.00207,                0.48698,                0.89346,                  0.733,                0.77526,                0.69223,                0.44461,                0.73829,                0.84041,                0.75311,                 0.7083,                 1.2337,                0.33372,                0.00929,                0.80266,                0.90717,              0.0002675,              0.0002675,              0.0002675
                     38,                 1.0281,                0.21932,                0.00389,                0.47249,                0.89076,                0.73752,                 0.7837,                0.69329,                0.44592,                0.75896,                0.81828,                0.75195,                0.71114,                 1.2429,                0.32667,                0.01517,                0.80223,                 0.9119,               0.000218,               0.000218,               0.000218
                     39,                 1.0114,                0.19277,                0.00392,                0.46961,                0.88443,                0.74523,                 0.7773,                0.69431,                0.44864,                0.73642,                0.85359,                 0.7529,                0.71222,                 1.2416,                0.33347,                0.00516,                0.80305,                0.90671,              0.0001685,              0.0001685,              0.0001685
                     40,                 1.0001,                0.18981,                0.00247,                0.46233,                0.87783,                0.72725,                0.79575,                0.69559,                0.45181,                0.73185,                 0.8675,                0.75466,                0.71334,                 1.2302,                0.32696,                0.00617,                0.80995,                0.90865,               0.000119,               0.000119,               0.000119
